model,prompt_type,language,slice_root,project_key,sonar_status,sonar_scanner_exit_code,quality_gate,bugs,vulnerabilities,code_smells,reliability_rating,security_rating,sqale_rating,duplicated_lines_density,ncloc,coverage,analysis_id,ce_task_id,error,scanner_log
gemini,base,python,task_equivalents/llm_translations/gemini/base/python,masters_thesis_translations_gemini_base_python,ok,0,OK,0,0,2,1.0,1.0,1.0,11.8,166,0.0,c4e0e58b-ba4d-46b6-8429-74370ed25c15,0ac69e94-0d08-4528-a70c-b6c83b9c6395,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gemini__base__python/sonar-scanner.log
gemini,base,r,task_equivalents/llm_translations/gemini/base/r,masters_thesis_translations_gemini_base_r,ok,0,OK,0,0,111,1.0,1.0,1.0,0.0,,,d8cbe363-1d25-499c-83d0-2216c888b0f1,9a0a7694-6b6f-4ca2-817c-c6935f48db0a,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gemini__base__r/sonar-scanner.log
gemini,optimized,python,task_equivalents/llm_translations/gemini/optimized/python,masters_thesis_translations_gemini_optimized_python,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,147,0.0,b36e4524-cc29-43d1-8f62-6881d17cf227,c1e58d0b-3dc1-4b95-8900-a94df8b6c5c4,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gemini__optimized__python/sonar-scanner.log
gemini,optimized,r,task_equivalents/llm_translations/gemini/optimized/r,masters_thesis_translations_gemini_optimized_r,ok,0,OK,0,0,93,1.0,1.0,1.0,0.0,,,9b2f7758-b18c-4780-b425-c38d6865b110,874a45dc-dafc-4008-af1b-02833b006f57,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gemini__optimized__r/sonar-scanner.log
gpt,base,python,task_equivalents/llm_translations/gpt/base/python,masters_thesis_translations_gpt_base_python,ok,0,OK,0,0,2,1.0,1.0,1.0,14.9,206,0.0,bad75dca-9d3f-4bdb-9f8f-d440c7ff6848,0b97ce73-dc53-4449-a17a-a45ae772a731,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gpt__base__python/sonar-scanner.log
gpt,base,r,task_equivalents/llm_translations/gpt/base/r,masters_thesis_translations_gpt_base_r,ok,0,OK,0,0,78,1.0,1.0,1.0,0.0,,,23b1c3f5-c21f-46cd-bc5f-b61ff943fc13,694fdfd1-d0e3-4ddf-bc71-a9e5be60d496,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gpt__base__r/sonar-scanner.log
gpt,optimized,python,task_equivalents/llm_translations/gpt/optimized/python,masters_thesis_translations_gpt_optimized_python,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,206,0.0,ebc7c733-9034-43d7-b008-1c05d555b575,cb454135-622e-400c-be2a-36d147c87b84,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gpt__optimized__python/sonar-scanner.log
gpt,optimized,r,task_equivalents/llm_translations/gpt/optimized/r,masters_thesis_translations_gpt_optimized_r,ok,0,OK,0,0,54,1.0,1.0,1.0,0.0,,,e1a4fb87-3e94-4921-a05f-82686a2b98ed,c33fbb76-30b8-4d99-92b4-be99e13bd020,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/gpt__optimized__r/sonar-scanner.log
llama,base,python,task_equivalents/llm_translations/llama/base/python,masters_thesis_translations_llama_base_python,ok,0,OK,0,0,7,1.0,1.0,1.0,0.0,162,0.0,86adcca8-5a26-4be0-983f-e50db85af781,1340da44-e81c-4649-94ff-6e35c6b178e0,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/llama__base__python/sonar-scanner.log
llama,base,r,task_equivalents/llm_translations/llama/base/r,masters_thesis_translations_llama_base_r,ok,0,OK,0,0,141,1.0,1.0,1.0,0.0,,,dcd55d68-9eec-41e9-a0c1-0f0bf7e70f1a,10938ecc-5f66-417c-a8e5-93411b0521a5,,task_equivalents/evaluation_outputs/sonar_blacklist_final/static/llama__base__r/sonar-scanner.log
