script_id,model,prompt_type,language,category,snippet_id,script_path,analysis_granularity,source_root,project_key,sonar_status,sonar_scanner_exit_code,quality_gate,bugs,vulnerabilities,code_smells,reliability_rating,security_rating,sqale_rating,duplicated_lines_density,ncloc,coverage,analysis_id,ce_task_id,error,scanner_log
script_1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,snippet,task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing,masters_thesis_translations_script_1_gemini__base__python__data_manipulation_preprocessing__01_impute_encode_scale,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,11,0.0,bebd80b1-3f9c-4114-bd6a-2e2b67fccdda,5825652c-d294-47f0-a521-4bbb499a4674,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__data_manipulation_preprocessing__01_impute_encode_scale/sonar-scanner.log
script_2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,snippet,task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing,masters_thesis_translations_script_2_gemini__base__python__data_manipulation_preprocessing__02_merge_aggregate_reshape,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,14,0.0,ac302202-0f28-400e-97d9-9fbef6fed5d8,6adb779b-337e-467e-8569-c814b63b8e34,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__data_manipulation_preprocessing__02_merge_aggregate_reshape/sonar-scanner.log
script_3,gemini,base,python,data_visualization,01_scatter_trend_grouped,task_equivalents/llm_translations/gemini/base/python/data_visualization/01_scatter_trend_grouped.py,snippet,task_equivalents/llm_translations/gemini/base/python/data_visualization,masters_thesis_translations_script_3_gemini__base__python__data_visualization__01_scatter_trend_grouped,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,19,0.0,b9a21528-7f58-4a79-bbbb-58364af99bbd,6d369eb0-9a42-43e1-9a8c-942e4c1eed1d,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__data_visualization__01_scatter_trend_grouped/sonar-scanner.log
script_4,gemini,base,python,data_visualization,02_distribution_boxplot,task_equivalents/llm_translations/gemini/base/python/data_visualization/02_distribution_boxplot.py,snippet,task_equivalents/llm_translations/gemini/base/python/data_visualization,masters_thesis_translations_script_4_gemini__base__python__data_visualization__02_distribution_boxplot,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,23,0.0,fd990805-ab3d-4417-8064-131864ec024f,21d389dd-2001-4c6a-86f0-298ad46b40f9,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__data_visualization__02_distribution_boxplot/sonar-scanner.log
script_5,gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,snippet,task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows,masters_thesis_translations_script_5_gemini__base__python__machine_learning_workflows__01_pipeline_cv_gridsearch_classification,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,32,0.0,5774d460-549e-4d5a-a19f-929585dc16c8,709a65ce-72fa-4673-9f10-6d0cb0e6b3d8,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__machine_learning_workflows__01_pipeline_cv_gridsearch_classification/sonar-scanner.log
script_6,gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,snippet,task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows,masters_thesis_translations_script_6_gemini__base__python__machine_learning_workflows__02_regression_workflow_feature_importance,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,41,0.0,8057498f-4815-49c2-b0b8-662851c52edd,77f580af-4a3a-4360-945e-7cb623dc1afd,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__machine_learning_workflows__02_regression_workflow_feature_importance/sonar-scanner.log
script_7,gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/01_linear_regression_inference.py,snippet,task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis,masters_thesis_translations_script_7_gemini__base__python__statistical_modelling_analysis__01_linear_regression_inference,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,13,0.0,f129aec6-06d7-44aa-ab56-e5551d465abc,0aad537f-2620-4921-a8c5-b8ed4744bff0,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__statistical_modelling_analysis__01_linear_regression_inference/sonar-scanner.log
script_8,gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,snippet,task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis,masters_thesis_translations_script_8_gemini__base__python__statistical_modelling_analysis__02_logistic_regression_odds_ratios,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,13,0.0,25195869-9512-4259-a5ee-714d306d6d6e,7b2a7683-5ea1-4796-bafa-c15137383c77,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__python__statistical_modelling_analysis__02_logistic_regression_odds_ratios/sonar-scanner.log
script_9,gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/01_impute_encode_scale.R,snippet,task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing,masters_thesis_translations_script_9_gemini__base__r__data_manipulation_preprocessing__01_impute_encode_scale,ok,0,OK,0,0,17,1.0,1.0,1.0,0.0,,,0e600e53-368b-4a58-a55a-38818fd430a7,08112c3b-2876-4e6f-b464-c6d8d55501f7,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__r__data_manipulation_preprocessing__01_impute_encode_scale/sonar-scanner.log
script_10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,snippet,task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing,masters_thesis_translations_script_10_gemini__base__r__data_manipulation_preprocessing__02_merge_aggregate_reshape,ok,0,OK,0,0,12,1.0,1.0,1.0,0.0,,,fce6aec4-c5fa-4826-9cf6-2a9ce47ca2ca,13f3b992-6980-443a-a4fb-da175696baa5,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__r__data_manipulation_preprocessing__02_merge_aggregate_reshape/sonar-scanner.log
script_11,gemini,base,r,data_visualization,01_scatter_trend_grouped,task_equivalents/llm_translations/gemini/base/r/data_visualization/01_scatter_trend_grouped.R,snippet,task_equivalents/llm_translations/gemini/base/r/data_visualization,masters_thesis_translations_script_11_gemini__base__r__data_visualization__01_scatter_trend_grouped,ok,0,OK,0,0,10,1.0,1.0,1.0,0.0,,,9ea63ee5-8d2e-4ef4-a187-290ab5e7593e,7ee337ad-0c1a-4aea-965b-b175c5c8e081,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__r__data_visualization__01_scatter_trend_grouped/sonar-scanner.log
script_12,gemini,base,r,data_visualization,02_distribution_boxplot,task_equivalents/llm_translations/gemini/base/r/data_visualization/02_distribution_boxplot.R,snippet,task_equivalents/llm_translations/gemini/base/r/data_visualization,masters_thesis_translations_script_12_gemini__base__r__data_visualization__02_distribution_boxplot,ok,0,OK,0,0,13,1.0,1.0,1.0,0.0,,,32ebc083-61ca-478f-b703-502a374ea39c,66b4b4dd-2842-4271-9a4c-969bdd9280e7,,task_equivalents/evaluation_outputs/maintainability_non_blacklisted_snippets_final_20260502T092409Z/static/gemini__base__r__data_visualization__02_distribution_boxplot/sonar-scanner.log
