script_id,script_number,model,prompt_type,language,category,snippet,script_path,ok_runs,failed_runs,total_runs,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,energy_joules_mean,energy_joules_median,energy_joules_std,energy_joules_min,energy_joules_max,avg_power_watts_mean,avg_power_watts_median,avg_power_watts_std,avg_power_watts_min,avg_power_watts_max
script_1,1,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.172756332,0.172794851,0.001127969,0.171197931,0.176598543,2.827000000,2.825000000,0.041948244,2.750000000,2.920000000,16.364126639,16.337932862,0.221170408,15.978294344,16.861236092
script_2,2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.173645823,0.173422072,0.000803648,0.172258551,0.176194861,2.835666667,2.825000000,0.052567417,2.750000000,2.980000000,16.330287971,16.272196429,0.299921378,15.857133935,17.195126271
script_3,3,gemini,base,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.912085870,0.913036250,0.003770827,0.901418190,0.917444344,15.065000000,15.080000000,0.216902171,14.650000000,15.450000000,16.517176776,16.524076222,0.234674882,16.094019953,17.011915509
script_4,4,gemini,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.482234777,0.482369045,0.002182489,0.478156870,0.485440214,8.051000000,8.035000000,0.088720794,7.890000000,8.260000000,16.695329895,16.689426342,0.181649282,16.331824871,17.034792485
script_5,5,gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.564756028,2.563350341,0.006588169,2.555886988,2.580498695,42.946333333,43.030000000,0.601495168,41.020000000,43.700000000,16.744732327,16.751969588,0.225485835,16.036291809,17.061092387
script_6,6,gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.270537466,12.256523871,0.043734071,12.213342949,12.358638318,194.409333333,194.545000000,2.142521771,190.960000000,198.390000000,15.843826112,15.870637179,0.187422273,15.492807142,16.216007058
script_7,7,gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.579274225,0.579537572,0.001579414,0.575955602,0.582190741,9.522333333,9.500000000,0.108363479,9.280000000,9.730000000,16.438424480,16.417867508,0.185219358,16.064035010,16.785402284
script_8,8,gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.730633183,0.730396679,0.002693853,0.725975556,0.734807398,11.973666667,11.945000000,0.148311958,11.770000000,12.300000000,16.388282697,16.360971039,0.211500304,16.031411812,16.747681435
script_9,9,gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.080946066,0.080237531,0.002410556,0.079655308,0.089810075,1.351000000,1.345000000,0.031551818,1.300000000,1.430000000,16.697692241,16.710314436,0.423169108,15.637768867,17.526205840
script_10,10,gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.080810215,0.080330272,0.001749712,0.079210445,0.089030173,1.359666667,1.360000000,0.029767297,1.310000000,1.420000000,16.830105764,16.753255306,0.414356955,15.837327419,17.822114513
script_11,11,gemini,base,r,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_visualization/01_scatter_trend_grouped.R,30,0,30,0.102898620,0.102895415,0.001574057,0.101188799,0.109907545,1.731333333,1.730000000,0.043607444,1.640000000,1.830000000,16.826201976,16.790311360,0.366256206,16.147870540,17.666118021
script_12,12,gemini,base,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.104417075,0.104403686,0.000805590,0.103012321,0.105938416,1.730666667,1.715000000,0.042339623,1.670000000,1.830000000,16.574387740,16.456731981,0.376454693,15.998008047,17.390287621
script_13,13,gemini,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.R,30,0,30,1.774797396,1.756847782,0.121970345,1.521442302,2.017114285,32.352333333,32.455000000,2.113636649,27.830000000,36.970000000,18.234898365,18.188357094,0.285891426,17.719803229,18.705469228
