implementation_type,model,prompt_type,language,category,snippet,script_path,run_id,status,elapsed_seconds,energy_joules,avg_power_watts,error_message
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,1,ok,0.173052663,2.800000000,16.180045724,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,2,ok,0.173863748,2.790000000,16.047048520,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,3,ok,0.173586785,2.830000000,16.303084362,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,4,ok,0.173374845,2.880000000,16.611406343,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,5,ok,0.174727592,2.850000000,16.311104430,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,6,ok,0.173610253,2.880000000,16.588881994,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,7,ok,0.173255316,2.900000000,16.738303141,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,8,ok,0.173351551,2.840000000,16.382893511,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,9,ok,0.175106869,2.970000000,16.961070785,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,10,ok,0.172930501,2.820000000,16.307129070,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,11,ok,0.173770154,2.790000000,16.055691589,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,12,ok,0.174565457,2.910000000,16.669964665,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,13,ok,0.173735920,2.800000000,16.116413923,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,14,ok,0.174038249,2.900000000,16.663003775,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,15,ok,0.173056086,2.790000000,16.121940953,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,16,ok,0.173713354,2.890000000,16.636602388,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,17,ok,0.173532999,2.820000000,16.250511524,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,18,ok,0.173242484,2.830000000,16.335485007,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,19,ok,0.174175360,2.860000000,16.420233034,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,20,ok,0.173787606,2.790000000,16.054079253,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,21,ok,0.173386870,2.860000000,16.494905295,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,22,ok,0.174045305,2.850000000,16.375046716,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,23,ok,0.173150659,2.880000000,16.632913883,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,24,ok,0.173376199,2.830000000,16.322886396,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,25,ok,0.173300160,2.820000000,16.272345046,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,26,ok,0.173752759,2.870000000,16.517723324,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,27,ok,0.174613631,2.870000000,16.436288413,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,28,ok,0.172895925,2.990000000,17.293640669,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,29,ok,0.173633518,2.890000000,16.644251832,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,ok,0.173636420,2.840000000,16.356015633,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,31,ok,0.173872115,2.940000000,16.908979338,
candidate,gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,32,ok,0.174056933,2.920000000,16.776120030,
