script_id,model,prompt_type,language,category,snippet_id,script_path,analysis_granularity,source_root,project_key,sonar_status,sonar_scanner_exit_code,quality_gate,bugs,vulnerabilities,code_smells,reliability_rating,security_rating,sqale_rating,duplicated_lines_density,ncloc,coverage,analysis_id,ce_task_id,error,scanner_log
base_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,snippet,task_equivalents/python/data_manipulation_preprocessing,masters_thesis_translations_base_1_original__base__python__data_manipulation_preprocessing__01_impute_encode_scale,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,15,0.0,403af8f0-b100-4fd4-a898-4b40e83283d1,fcf410cc-cffc-4c2b-be06-56bf96f4efc4,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__data_manipulation_preprocessing__01_impute_encode_scale/sonar-scanner.log
base_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,task_equivalents/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,snippet,task_equivalents/python/data_manipulation_preprocessing,masters_thesis_translations_base_2_original__base__python__data_manipulation_preprocessing__02_merge_aggregate_reshape,ok,0,OK,0,0,2,1.0,1.0,1.0,0.0,12,0.0,5f93a2be-594c-4a1b-b383-0684e26d973f,aa14d9e8-16dc-4ab2-9cd9-cd54b232de29,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__data_manipulation_preprocessing__02_merge_aggregate_reshape/sonar-scanner.log
base_3,original,base,python,data_visualization,01_scatter_trend_grouped,task_equivalents/python/data_visualization/01_scatter_trend_grouped.py,snippet,task_equivalents/python/data_visualization,masters_thesis_translations_base_3_original__base__python__data_visualization__01_scatter_trend_grouped,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,17,0.0,55625d17-90ed-4a23-921d-454e17978d0f,d6d7dcb5-b8ed-41f1-918d-1fbdc9f16afd,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__data_visualization__01_scatter_trend_grouped/sonar-scanner.log
base_4,original,base,python,data_visualization,02_distribution_boxplot,task_equivalents/python/data_visualization/02_distribution_boxplot.py,snippet,task_equivalents/python/data_visualization,masters_thesis_translations_base_4_original__base__python__data_visualization__02_distribution_boxplot,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,25,0.0,eca13ad4-e371-4002-a5e0-37a0bf47e54d,ed18f99f-c430-4d5e-a8e0-ece31b4217a0,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__data_visualization__02_distribution_boxplot/sonar-scanner.log
base_5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,task_equivalents/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,snippet,task_equivalents/python/machine_learning_workflows,masters_thesis_translations_base_5_original__base__python__machine_learning_workflows__01_pipeline_cv_gridsearch_classification,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,23,0.0,bcfea0c9-fe42-4179-af52-d7ebbbf7a8be,663ad18c-d71b-4f2e-923a-6a04e7020988,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__machine_learning_workflows__01_pipeline_cv_gridsearch_classification/sonar-scanner.log
base_6,original,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,task_equivalents/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,snippet,task_equivalents/python/machine_learning_workflows,masters_thesis_translations_base_6_original__base__python__machine_learning_workflows__02_regression_workflow_feature_importance,ok,0,OK,0,0,1,1.0,1.0,1.0,0.0,28,0.0,5f720dd4-e1ea-47e6-b520-afe47247ab05,2a7853b1-21bd-42df-970f-f75c40872ed5,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__machine_learning_workflows__02_regression_workflow_feature_importance/sonar-scanner.log
base_7,original,base,python,statistical_modelling_analysis,01_linear_regression_inference,task_equivalents/python/statistical_modelling_analysis/01_linear_regression_inference.py,snippet,task_equivalents/python/statistical_modelling_analysis,masters_thesis_translations_base_7_original__base__python__statistical_modelling_analysis__01_linear_regression_inference,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,14,0.0,5117308a-ec95-486d-b4ab-31ab67891d86,9e9ee6fe-1024-4d73-9d23-a380f70ff74d,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__statistical_modelling_analysis__01_linear_regression_inference/sonar-scanner.log
base_8,original,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,task_equivalents/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,snippet,task_equivalents/python/statistical_modelling_analysis,masters_thesis_translations_base_8_original__base__python__statistical_modelling_analysis__02_logistic_regression_odds_ratios,ok,0,OK,0,0,0,1.0,1.0,1.0,0.0,13,0.0,1d592329-153b-4369-9843-08486fdf7573,5f5589c5-bd93-420e-9444-7723838d368d,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__python__statistical_modelling_analysis__02_logistic_regression_odds_ratios/sonar-scanner.log
base_9,original,base,r,data_manipulation_preprocessing,01_impute_encode_scale,task_equivalents/r/data_manipulation_preprocessing/01_impute_encode_scale.R,snippet,task_equivalents/r/data_manipulation_preprocessing,masters_thesis_translations_base_9_original__base__r__data_manipulation_preprocessing__01_impute_encode_scale,ok,0,OK,0,0,36,1.0,1.0,1.0,0.0,,,0f7512e2-c603-43d8-b9fc-d4e9964c9e1e,ae74c9fb-718c-49eb-8b42-0609941c5177,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__r__data_manipulation_preprocessing__01_impute_encode_scale/sonar-scanner.log
base_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,task_equivalents/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,snippet,task_equivalents/r/data_manipulation_preprocessing,masters_thesis_translations_base_10_original__base__r__data_manipulation_preprocessing__02_merge_aggregate_reshape,ok,0,OK,0,0,31,1.0,1.0,1.0,0.0,,,ea360a5a-0b21-4c25-ba10-73e453c1ce27,3920f44c-ad4e-409a-973d-df467955f601,,task_equivalents/evaluation_outputs/maintainability_original_baselines_20260509T094830Z/static/original__base__r__data_manipulation_preprocessing__02_merge_aggregate_reshape/sonar-scanner.log
